Date,T-BILL1Y,Value
10/10/2012,3.054978,1
11/10/2012,3.055874,1
12/10/2012,3.059455,1
15/10/2012,3.05856,0
16/10/2012,3.06841,1
17/10/2012,2.864598,0
18/10/2012,2.845326,0
19/10/2012,2.839051,0
22/10/2012,2.845864,1
24/10/2012,2.843533,0
25/10/2012,2.851153,1
26/10/2012,2.851601,1
29/10/2012,2.848912,0
30/10/2012,2.799604,0
31/10/2012,2.795121,0
01/11/2012,2.787948,0
02/11/2012,2.777188,0
05/11/2012,2.765979,0
06/11/2012,2.746697,0
07/11/2012,2.734141,0
08/11/2012,2.733244,0
09/11/2012,2.737729,1
12/11/2012,2.744007,1
13/11/2012,2.74311,0
14/11/2012,2.743559,1
15/11/2012,2.741765,0
16/11/2012,2.739971,0
19/11/2012,2.739074,0
20/11/2012,2.732796,0
21/11/2012,2.733244,1
22/11/2012,2.733244,1
23/11/2012,2.731451,0
26/11/2012,2.735038,1
27/11/2012,2.731451,0
28/11/2012,2.732348,1
29/11/2012,2.74033,1
30/11/2012,2.745801,1
03/12/2012,2.758356,1
04/12/2012,2.759074,1
06/12/2012,2.757459,0
07/12/2012,2.758356,1
11/12/2012,2.761046,1
12/12/2012,2.761046,1
13/12/2012,2.761943,1
14/12/2012,2.761943,1
17/12/2012,2.761943,1
18/12/2012,2.762033,1
19/12/2012,2.764634,1
20/12/2012,2.764634,1
21/12/2012,2.764634,1
24/12/2012,2.763737,0
25/12/2012,2.764992,1
26/12/2012,2.764634,0
27/12/2012,2.76284,0
28/12/2012,2.761943,0
02/01/2013,2.761943,1
03/01/2013,2.758356,0
04/01/2013,2.757101,0
07/01/2013,2.758356,1
08/01/2013,2.76553,1
09/01/2013,2.763737,0
10/01/2013,2.764634,1
11/01/2013,2.766427,1
14/01/2013,2.770014,1
15/01/2013,2.772704,1
16/01/2013,2.768221,0
17/01/2013,2.767324,0
18/01/2013,2.772704,1
21/01/2013,2.770911,0
22/01/2013,2.770014,0
23/01/2013,2.767324,0
24/01/2013,2.767324,1
25/01/2013,2.769117,1
28/01/2013,2.769117,1
29/01/2013,2.775394,1
30/01/2013,2.776291,1
31/01/2013,2.774498,0
01/02/2013,2.774498,1
04/02/2013,2.76284,0
05/02/2013,2.730105,0
06/02/2013,2.730105,1
07/02/2013,2.714409,0
08/02/2013,2.683909,0
11/02/2013,2.674937,0
12/02/2013,2.697365,1
13/02/2013,2.698262,1
14/02/2013,2.698262,1
15/02/2013,2.696468,0
18/02/2013,2.691983,0
19/02/2013,2.693777,1
20/02/2013,2.700953,1
21/02/2013,2.707233,1
22/02/2013,2.709027,1
26/02/2013,2.720687,1
27/02/2013,2.726966,1
28/02/2013,2.726966,1
01/03/2013,2.727863,1
04/03/2013,2.733244,1
05/03/2013,2.733244,1
06/03/2013,2.735038,1
07/03/2013,2.735038,1
08/03/2013,2.735038,1
11/03/2013,2.73728,1
12/03/2013,2.735935,0
13/03/2013,2.742303,1
14/03/2013,2.743559,1
15/03/2013,2.744455,1
18/03/2013,2.744455,1
19/03/2013,2.745756,1
20/03/2013,2.746249,1
21/03/2013,2.741765,0
22/03/2013,2.736877,0
25/03/2013,2.735487,0
26/03/2013,2.732796,0
27/03/2013,2.730464,0
28/03/2013,2.733693,1
29/03/2013,2.735487,1
01/04/2013,2.741316,1
02/04/2013,2.74042,0
03/04/2013,2.740868,1
04/04/2013,2.741765,1
05/04/2013,2.741316,0
09/04/2013,2.743379,1
10/04/2013,2.744455,1
11/04/2013,2.744455,1
12/04/2013,2.743783,0
17/04/2013,2.744455,1
18/04/2013,2.744455,1
19/04/2013,2.744455,1
22/04/2013,2.744769,1
23/04/2013,2.742213,0
24/04/2013,2.742213,1
25/04/2013,2.743289,1
26/04/2013,2.742213,0
29/04/2013,2.718624,0
30/04/2013,2.690996,0
02/05/2013,2.649546,0
03/05/2013,2.630075,0
07/05/2013,2.588792,0
08/05/2013,2.592382,1
09/05/2013,2.588792,0
10/05/2013,2.573533,0
13/05/2013,2.579817,1
14/05/2013,2.613024,1
15/05/2013,2.613024,1
16/05/2013,2.612037,0
17/05/2013,2.613024,1
20/05/2013,2.60405,0
21/05/2013,2.576496,0
22/05/2013,2.584304,1
23/05/2013,2.602255,1
27/05/2013,2.601357,0
28/05/2013,2.60764,1
29/05/2013,2.595254,0
30/05/2013,2.587895,0
31/05/2013,2.58969,1
03/06/2013,2.587895,0
04/06/2013,2.568597,0
05/06/2013,2.566352,0
06/06/2013,2.561864,0
07/06/2013,2.562672,1
10/06/2013,2.571738,1
11/06/2013,2.581432,1
12/06/2013,2.578021,0
13/06/2013,2.570841,0
14/06/2013,2.564108,0
17/06/2013,2.573533,1
18/06/2013,2.568148,0
19/06/2013,2.565455,0
20/06/2013,2.569943,1
21/06/2013,2.570571,1
24/06/2013,2.573533,1
25/06/2013,2.565455,0
26/06/2013,2.565455,1
27/06/2013,2.56725,1
28/06/2013,2.56725,1
02/07/2013,2.57304,1
03/07/2013,2.573533,1
04/07/2013,2.571738,0
05/07/2013,2.570841,0
08/07/2013,2.572636,1
09/07/2013,2.568597,0
10/07/2013,2.564557,0
11/07/2013,2.564557,1
12/07/2013,2.565455,1
15/07/2013,2.565455,1
16/07/2013,2.560967,0
17/07/2013,2.560069,0
18/07/2013,2.560069,1
19/07/2013,2.561864,1
23/07/2013,2.558274,0
24/07/2013,2.56366,1
25/07/2013,2.562672,0
26/07/2013,2.558274,0
29/07/2013,2.559171,1
30/07/2013,2.550194,0
31/07/2013,2.546604,0
01/08/2013,2.540948,0
02/08/2013,2.537626,0
05/08/2013,2.535831,0
06/08/2013,2.524159,0
07/08/2013,2.523261,0
08/08/2013,2.518772,0
09/08/2013,2.518772,1
13/08/2013,2.51967,1
14/08/2013,2.520568,1
15/08/2013,2.51967,0
16/08/2013,2.520209,1
19/08/2013,2.516079,0
20/08/2013,2.516079,1
21/08/2013,2.517425,1
22/08/2013,2.530743,1
23/08/2013,2.528648,0
26/08/2013,2.529546,1
27/08/2013,2.547501,1
28/08/2013,2.553785,1
29/08/2013,2.570841,1
30/08/2013,2.56366,0
02/09/2013,2.557735,0
03/09/2013,2.567609,1
04/09/2013,2.577483,1
05/09/2013,2.57847,1
06/09/2013,2.576496,0
09/09/2013,2.581432,1
10/09/2013,2.601178,1
11/09/2013,2.60754,1
12/09/2013,2.608088,1
13/09/2013,2.612037,1
16/09/2013,2.609075,0
17/09/2013,2.609075,1
18/09/2013,2.609075,1
19/09/2013,2.603152,0
20/09/2013,2.596242,0
23/09/2013,2.601178,1
24/09/2013,2.597229,0
25/09/2013,2.602165,1
26/09/2013,2.599203,0
27/09/2013,2.604139,1
30/09/2013,2.607101,1
01/10/2013,2.604139,0
02/10/2013,2.60046,0
03/10/2013,2.606742,1
04/10/2013,2.609434,1
07/10/2013,2.605845,0
08/10/2013,2.609734,1
09/10/2013,2.61083,1
10/10/2013,2.61179,1
11/10/2013,2.606854,0
14/10/2013,2.608637,1
15/10/2013,2.600684,0
16/10/2013,2.603152,1
17/10/2013,2.604386,1
18/10/2013,2.596101,0
21/10/2013,2.600332,1
22/10/2013,2.603152,1
24/10/2013,2.602535,0
25/10/2013,2.598833,0
28/10/2013,2.595748,0
29/10/2013,2.594514,0
30/10/2013,2.59328,0
31/10/2013,2.593897,1
01/11/2013,2.593897,1
04/11/2013,2.594514,1
05/11/2013,2.598216,1
06/11/2013,2.598216,1
07/11/2013,2.598216,1
08/11/2013,2.598216,1
11/11/2013,2.605003,1
12/11/2013,2.60562,1
13/11/2013,2.606443,1
14/11/2013,2.603152,0
15/11/2013,2.601918,0
18/11/2013,2.603152,1
19/11/2013,2.604563,1
20/11/2013,2.603152,0
21/11/2013,2.603152,1
22/11/2013,2.603152,1
25/11/2013,2.603152,1
26/11/2013,2.604386,1
27/11/2013,2.375965,0
28/11/2013,2.371729,0
29/11/2013,2.371729,1
02/12/2013,2.371023,0
03/12/2013,2.375347,1
04/12/2013,2.375965,1
06/12/2013,2.375965,1
09/12/2013,2.379671,1
11/12/2013,2.382142,1
12/12/2013,2.382142,1
13/12/2013,2.380906,0
16/12/2013,2.380906,1
17/12/2013,2.380906,1
18/12/2013,2.382142,1
19/12/2013,2.380906,0
20/12/2013,2.375965,0
23/12/2013,2.373141,0
24/12/2013,2.368552,0
25/12/2013,2.368552,1
26/12/2013,2.364846,0
27/12/2013,2.356197,0
02/01/2014,2.317892,0
03/01/2014,2.308006,0
06/01/2014,2.294721,0
07/01/2014,2.254859,0
08/01/2014,2.254859,1
09/01/2014,2.254859,1
10/01/2014,2.253932,0
13/01/2014,2.254462,1
14/01/2014,2.252188,0
15/01/2014,2.248863,0
16/01/2014,2.245225,0
