Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,5113.700195,5131.149902,4694.189941,4893.299805,4893.299805,1357664
2018-12-11,4893.299805,5116.890137,4592.990234,4826.259766,4826.259766,2161912
2018-12-12,4826.259766,4957.669922,4588.020020,4771.189941,4771.189941,1110408
2018-12-13,4771.189941,4913.649902,4534.259766,4655.009766,4655.009766,2234245
2018-12-14,4655.009766,5171.979980,4223.040039,4519.359863,4519.359863,2672904
2018-12-15,4519.359863,5064.640137,4319.490234,4498.379883,4498.379883,935205
2018-12-16,4498.379883,5122.339844,4369.060059,4640.470215,4640.470215,1062400
2018-12-17,4640.470215,5161.589844,4461.750000,4986.450195,4986.450195,2187344
2018-12-18,4986.450195,5513.459961,4678.339844,5255.430176,5255.430176,1815311
2018-12-19,5255.430176,6154.720215,5217.299805,5637.270020,5637.270020,6688531
2018-12-20,5637.270020,6164.410156,5285.859863,6005.810059,6005.810059,2727736
2018-12-21,6005.810059,6289.930176,5605.819824,5848.020020,5848.020020,2151506
2018-12-22,5848.020020,6186.629883,5392.470215,5908.600098,5908.600098,1159995
2018-12-23,5908.600098,6291.560059,5607.970215,5832.740234,5832.740234,799806
2018-12-24,5832.740234,6569.120117,5817.479980,5957.600098,5957.600098,1796835
2018-12-25,5957.600098,6073.470215,5256.169922,5732.529785,5732.529785,1608703
2018-12-26,5732.529785,6101.720215,5309.060059,5715.040039,5715.040039,573109
2018-12-27,5715.040039,6013.419922,5221.069824,5312.919922,5312.919922,1097863
2018-12-28,5312.919922,5822.919922,5142.109863,5737.870117,5737.870117,1567852
2018-12-29,5737.870117,5921.350098,5457.299805,5466.390137,5466.390137,4911030
2018-12-30,5466.390137,5646.589844,5289.720215,5506.629883,5506.629883,1335800
2018-12-31,5506.629883,5984.129883,5190.000000,5335.180176,5335.180176,1522294
2019-01-01,5335.180176,5895.080078,5081.020020,5440.990234,5440.990234,848170
2019-01-02,5440.990234,5709.040039,5256.740234,5501.020020,5501.020020,1346751
2019-01-03,5501.020020,6045.240234,5189.990234,5307.529785,5307.529785,917776
2019-01-04,5307.529785,5949.229980,5205.290039,5342.279785,5342.279785,1120137
2019-01-05,5342.279785,5934.560059,5129.919922,5344.250000,5344.250000,572959
2019-01-06,5344.250000,5918.620117,5096.910156,5747.490234,5747.490234,706591
2019-01-07,5747.490234,5983.279785,5484.350098,5600.919922,5600.919922,1142199
2019-01-08,5600.919922,6230.129883,5319.549805,5554.959961,5554.959961,1611013
2019-01-09,5554.959961,6171.950195,5299.379883,5564.180176,5564.180176,1088398
2019-01-10,5564.180176,5833.049805,4932.649902,5006.120117,5006.120117,2450484
2019-01-11,5006.120117,5473.339844,4853.259766,5056.279785,5056.279785,1526953
2019-01-12,5056.279785,5611.759766,4916.660156,5065.180176,5065.180176,664397
2019-01-13,5065.180176,5610.479980,4652.589844,4776.790039,4776.790039,1093219
2019-01-14,4776.790039,5512.339844,4563.189941,5152.750000,5152.750000,1505876
2019-01-15,5152.750000,5670.180176,5037.759766,5209.370117,5209.370117,1914160
